"NºDePatrimonio";"DescrDoBem";"Fornecedor";"Marca";"Comentarios";"FormaAquis";"DocDeEntrada";"DataAquis";"ValorAquis";"CódigoDoFuncionário";"NúmeroDoDepartamento";"CódigoDaCategoriaDoBem";"CódDoGrupoDoBem";"SituaçAtualDoBem"
19;"Um Micro.";"Carlos César Gomes André - ME.";"      ----";"AT 386 - 40 MHZ.";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"24/06/1993";;57;39;;;"Baixado"
20;"`Uma Impressora.";"Cvarlos César Gomes André - ME.";"    ----";"Epson FX-1170.";;;"24/06/1993";;57;39;;;"Baixado"
21;"Uma Impressora.";"Carlos César Gomes André - ME.";"   ----";"Epson FX-1170.";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"24/06/1993";"5.0435e+007";57;39;;;"Baixado"
22;"Uma Impressora.";"Carlos César Gomes André - ME.";"    ----";"Epson FX-1170.";;;"24/06/1993";;57;39;;;"Baixado"
23;"Uma Impressora.";"Carlos César Gomes André - ME.";"     ----";"Epson FX-1170.";;;"24/06/1993";;57;39;;;"Baixado"
24;"Uma Impressora.";"Carlos César Gomes André - ME.";"   ---";"Epson FX-1170.";;;"24/06/1993";;57;39;;;"Baixado"
25;"Um Estabilizador.";"Carlos César Gomes André -ME.";"    ---";"De voltagem - Rag Techi 800.";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"24/06/1993";;57;39;1;4;"Baixado"
26;"Um Estabilizador.";"Carlos César Gomes André - ME.";"    ----";"De voltagem - Rag Techi 800.";;;"24/06/1993";;57;39;1;4;"Baixado"
27;"Um Estabilizador.";"Carlos César Gomes André - ME.";"    ----";"De voltagem - Rag Techi 800.";;;"24/06/1993";;57;40;1;4;"Baixado"
28;"Um Estabilizador.";"Carlos César Gomes André - ME.";"   ---";"De voltagem - Rag Techi 800.";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"24/06/1993";;57;39;1;4;"Baixado"
29;"Um Estabilizador.";"Carlos César Gomes André - ME.";"   ---";"De voltagem - Rag Techi 800.";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"24/06/1993";;57;39;1;4;"Baixado"
30;"Um Teclado.";"Carlos César Gomes André - ME.";"   ---";"Para Computador.";;;"24/06/1993";;57;39;;;"Baixado"
31;"Um Teclado.";"Carlos César Gomes André -ME.";"   ---";"Para Computador. Acompanha Micro AT 386.";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"24/06/1993";;57;39;1;4;"Baixado"
32;"Um Teclado.";"Carlos César Gomes André - ME.";"   ---";"Para Computador - Acompanha Micro AT 386.";;;"24/06/1993";;57;39;;;"Baixado"
33;"Um Teclado.";"Carlos César Gomes André - ME.";"    ---";"Para Computador - Acompanha Micro AT 386.";;;"24/06/1993";;57;39;1;4;"Baixado"
34;"Um Teclado.";"Carlos César Gomes André - ME.";"   ---";"Para Computador - Acompanha Micro AT 386.";;;"24/06/1993";;57;39;;;"Baixado"
35;"Um Monitor.";"Carlos César Gomes André - ME.";"   ---";"Angra VGA 14 - Acompanha Micro AT 386.";;;"24/06/1993";;57;39;;;"Baixado"
36;"Um Monitor.";"Carlos César Gomes André - ME.";"   ---";"Angra VGA 14 - Acompanha Micro AT 386.";;;"24/06/1993";;57;39;1;4;"Baixado"
37;"Um Monitor.";"Carlos César Gomes André - ME.";"   ---";"Angra VGA 14 - Acompanha Micro AT 386.";;;"24/06/1993";;57;39;;;"Baixado"
38;"Um Monitor.";"Carlos César Gomes André - ME.";"  ---";"Angra VGA 14 - Acompanha Micro AT 386.";;;"24/06/1993";;57;39;;;"Baixado"
39;"Um Monitor.";"Carlos César Gomes André - ME.";"    ---";"Angra VGA 14 - Acompanha Micro AT 386.";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"24/06/1993";;57;39;1;4;"Baixado"
40;"Um Aparelho Telefônico.";"Jovla Instalações Elétricas e Telefônicas Ltda - ME.";"    ----";"Com teclas.";;;"15/04/1993";;57;39;;;"Baixado"
41;"Um Aparelho Telefônico.";"Jovla Instalações Elétricas e Telefônicas Ltda - ME.";"     ----";"Com teclas.";;;"15/04/1993";;57;39;;;"Baixado"
42;"Um Aparelho Telefônico.";"Jovla Instalações Elétricas e Telefônicas Ltda - ME.";"     ----";"Com teclas.";;;"15/04/1993";;57;39;1;1;"Baixado"
43;"Um Aparelho Telefônico.";"Jovla Instalações Elétricas e Telefônicas Ltda - ME.";"    ----";"Com teclas.";;;"15/04/1993";;57;39;;;"Baixado"
44;"Uma Mesa.";;;"Tipo Cerejeira - em L - com 6 gavetas.";;;;;57;39;;;"Baixado"
45;"Um Vídeo Cassete.";;"Sony.";"Com controle remoto - VHR 5200.";;"Ato nº 431,de 01/09/93";"01/09/93";;57;40;;;"Baixado"
46;"Um Armário.";;;"Tipo cerejeira; frente meio aberta e fechada com chaves.";;"Ato nº 431,de 01/09/93 - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"01/09/93";;57;39;1;1;"Baixado"
47;"Uma Cadeira.";;;"Fixa; em curvim preto.";;;;;57;39;1;1;"Baixado"
48;"Uma Cadeira.";;;"Fixa; em curvim preto.";;;;;57;39;;;"Baixado"
49;"Uma Cadeira.";;;"Fixa; em curvim preto.";;;;;57;40;;;"Baixado"
50;"Uma Cadeira.";;;"Giratória; em curvim preto.";;;;;57;40;;;"Baixado"
51;"Uma Mesa.";;;"Para máquina de escrever; tipo cerejeira.";;"Ato nº 431,de 01/09/93 - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"01/09/93";;57;40;1;1;"Baixado"
52;"Um Porta Chaves.";;;"Com capacidade para 50 Chaves.";;"Ato nº 431,de 01/09/93";"01/09/93";;57;40;1;3;"Baixado"
53;"Uma máquina de escrever Eletrônica.";;"Facit 800";;;;;;57;40;;;"Baixado"
54;"Uma máquina de escrever manual.";;"Facit.";;;"Ato nº 431,de 01/09/93";"01/09/93";;57;40;1;1;"Baixado"
55;"Uma calculadora.";;"Sharp.";"Copet CS 2181.";;;;;57;40;;;"Baixado"
56;"Uma Chancela.";;;"Com impressão em alto relevo.";;"Ato nº 431,de 01/09/93";"01/09/93";;57;40;1;1;"Baixado"
57;"Um Aquecedor Elétrico.";;;"110 V.";;;;;57;40;;;"Baixado"
58;"Uma Mesa.";;;"Tipo cerejeira; com 03 gavetas.";;;;;57;40;;;"Baixado"
59;"Uma Cadeira.";;;"Fixa; em curvim preto.";;;;;57;40;;;"Baixado"
60;"Uma Cadeira.";;;"Fixa; em curvim preto.";;;;;57;40;;;"Baixado"
61;"Um aparelho Telefônico.";;;"Com teclas.";;;;;57;40;;;"Baixado"
62;"Um Armário em aço.";;"Forja.";"Com 04 gavetas.";;;;;57;40;;;"Baixado"
63;"Uma cadeira .";;;"Fixa; em curvim verde.";;;;;57;40;;;"Baixado"
64;"Um Relógio de Ponto.";;"DIMEP.";"Modelo ECONI.";;;;;57;40;;;"Baixado"
65;"Uma Chapeira.";;;"Com capacidade para 50 cartões.";;;;;57;40;;;"Baixado"
66;"Uma Geladeira.";;"Brastemp.";"Com capacidade para 320 litros.";;;;;57;40;;;"Baixado"
67;"Um Aparelho Telefônico.";;;"Com tecla.";;;;;57;40;;;"Baixado"
68;"Um Fogão.";;"Brastemp.";;;;;;57;40;;;"Baixado"
69;"Um Gabinete para Pia.";;;"Com 04 gavetas.";;;;;57;40;;;"Baixado"
70;"Um Liquidificador.";;"Walita.";;;"Ato nº 431,de 01/09/93";"01/09/93";;57;40;;;"Baixado"
71;"Uma Banqueta.";;;"Em madeira; tipo cerejeira.";"Comprado";;;;17;4;1;1;"Ativo"
72;"Uma Banqueta.";;;"Em madeira tipo cerejeira.";;"Ato nº 431,de 01/09/93";"01/09/93";;55;42;1;1;"Ativo"
73;"Uma Banqueta.";;;"Em madeira tipo cerejeira.";"Comprado";"Ato nº 431,de 01/09/93";"01/09/93";;6;4;1;1;"Ativo"
74;"Uma Banqueta.";;;"Em madeira tipo cerejeira.";;"Ato nº 431,de 01/09/93";"01/09/93";;57;40;;;"Baixado"
75;"Um Ventilador.";"Mappin-Lojas de Departamentos S/ª";"Mallory.";"Com 02 fases.";;;"17/11/1993";"7700";57;40;;;"Baixado"
76;"Um Bebedouro em aço inox.";"Distribuidora de Águas Minerais Dourado Ltda- ME.";"Belliere";"Para garrafão de 20 litros.";;;"26/11/1993";"50063.2";57;40;;;"Baixado"
77;"Uma máquina de escrever.";;"Facit.";"Manual.";;;;;57;39;;;"Baixado"
78;" Uma Estante em aço.";;;"Aberta.";;"Ato nº 431,de 01/09/93";"01/09/93";;22;30;1;1;"Ativo"
79;" Uma Estante em aço.";;;"Aberta.";;"Ato nº 431,de 01/09/93";"01/09/93";;14;29;1;1;"Ativo"
80;" Uma Estante em aço.";;;"Aberta.";;"Ato nº 431,de 01/09/93";"01/09/93";;22;30;1;1;"Ativo"
81;"Uma Estante em aço.";;;"Aberta.";;"Ato nº 431,de 01/09/93";"01/09/93";;22;30;1;1;"Ativo"
82;"Uma Estante em aço.";;;"Aberta.";;"Ato nº 431,de 01/09/93";"01/09/93";;57;39;1;1;"Baixado"
83;"Uma Estante em aço.";;;"Aberta.";;"Ato nº 431,de 01/09/93";"01/09/93";;22;30;1;1;"Ativo"
84;"Uma Estante em aço.";;;"Aberta.";;"Ato nº 431,de 01/09/93";"01/09/93";;57;39;1;1;"Baixado"
85;"Uma Estante em aço.";;;"Aberta.";;"Ato nº 431,de 01/09/93";"01/09/93";;57;39;1;1;"Baixado"
86;"Uma Estante em aço.";;;"Aberta.";;"Ato nº 431,de 01/09/93";"01/09/93";;14;29;1;1;"Ativo"
87;"Uma Estante em aço.";;;"Aberta.";;"Ato nº 431,de 01/09/93";"01/09/93";;14;29;1;1;"Ativo"
88;"Uma Estante em aço.";;;"Aberta.";;"Ato nº 431,de 01/09/93";"01/09/93";;55;40;1;1;"Baixado"
89;"Uma Estante em aço.";;;"Aberta.";;"Ato nº 431,de 01/09/93";"01/09/93";;22;30;1;1;"Ativo"
90;"Uma Estante em aço.";;;"Aberta.";;"Ato nº 431,de 01/09/93";"01/09/93";;22;30;1;1;"Ativo"
91;"Uma Estante em aço.";;;"Aberta.";;"Ato nº 431,de 01/09/93";"01/09/93";;55;40;1;1;"Baixado"
92;"Uma Mesa para máquina de escrever.";;;"Em mogno.";;"Ato nº 431,de 01/09/93 - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"01/09/93";;55;39;2;1;"Baixado"
93;"Uma Mesa.";;;"Com 03 gavetas em cerejeira.";;;;;55;39;;;"Baixado"
94;"Uma Mesa.";;;"Com 02 gavetas em cerejeira.";;;;;55;39;;;"Baixado"
95;"Uma Mesa.";;;"Com 06 gavetas em cerejeira.";;;;;55;39;;;"Baixado"
96;"Um Ventilador.";;"Walita.";"Com 03 estágios.";;;;;55;39;;;"Baixado"
97;"Uma Cadeira.";;;"Fixa; em curvim preto.";;;;;55;39;;;"Baixado"
98;"Uma Cadeira.";;;"Fixa; em curvim preto.";;;;;55;39;;;"Baixado"
99;"Uma Cadeira.";;;"Fixa; em curvim preto.";;;;;55;39;;;"Baixado"
100;"Uma Banqueta.";;;"Em madeira; tipo cerejeira.";;"Ato nº 431,de 01/09/93";"01/09/93";;22;1;1;1;"Ativo"
101;"Uma máquina de escrever manual.";;"Facit.";;;;;;55;39;;;"Baixado"
102;"Uma máquina de escrever manual.";;"Facit.";;;"Ato nº 431,de 01/09/93";"01/09/93";;55;40;1;1;"Baixado"
103;"Uma Calculadora.";;"Sharp.";"Modelo Compt CS2630B.";;;;;55;39;;;"Baixado"
104;"Uma Calculadora.";;"Sharp.";"Modelo Compt CS2630B.";;;;;55;39;;;"Baixado"
105;"Um Aparlho Telefônico.";;;"Cor: Bege.";;;;;55;39;;;"Baixado"
106;"Um Mouse para computador.";"C.A Informática Ltda - ME.";"Delta MO7000.";;;;;;55;39;;;"Baixado"
107;"Um Mouse para computador.";"C.A Informática Ltda - ME.";"Delta MO7000.";;;;;;55;39;;;"Baixado"
108;"Um Mouse para computador.";"C.A Informática Ltda - ME.";"Delta MO7000";;;;;;55;39;;;"Baixado"
109;"UM Mouse para computador.";"C.A Informática Ltda - ME.";"Delta MO7000.";;;;;;55;39;;;"Baixado"
110;"Um Mouse para computador.";"C.A Informática Ltda - ME.";"Delta MO7000.";;;;;;55;39;;;"Baixado"
111;"Uma Estante em aço.";;;"Aberta.";;"Ato nº 431,de 01/09/93";"01/09/93";;55;40;1;1;"Baixado"
112;"Uma Estante em aço.";;;"Aberta.";;"Ato nº 431,de 01/09/93";"01/09/93";;14;29;1;1;"Ativo"
113;"Uma Estante em aço.";;;"Aberta.";;"Ato nº 431,de 01/09/93";"01/09/93";;14;29;1;1;"Ativo"
114;"Uma Mesa.";;;"Com 06 gavetas em cerejeira.";;;;;55;39;;;"Baixado"
115;"Uma Mesa.";;;"Com 03 gavetas em cerejeira.";;;;;55;39;;;"Baixado"
116;"Uma Mesa.";;;"Com 06 gavetas em cerejeira.";;;;;55;39;;;"Baixado"
117;"Uma Mesa.";;;"Com 03 gavetas em cerejeira.";;;;;55;39;;;"Baixado"
118;"Uma Mesa.";;;"Com 02 gavetas em cerejeira.";;;;;55;39;;;"Baixado"
119;"Uma Mesa.";;;"Para telefone em mogno.";;"Ato nº 431,de 01/09/93";"01/09/93";;1;8;1;1;"Ativo"
120;"Um Aparelho telefônico.";;;"Cor: Bege.";;;;;55;39;;;"Baixado"
121;"Uma Cadeira.";;;"Fixa; em curvim preto.";;;;;55;39;;;"Baixado"
122;"Uma Cadeira.";;;"Fixa ; em curvim preto.";;;;;55;39;;;"Baixado"
123;"Uma Cadeira.";;;"Fixa; em curvim preto.";;;;;55;39;;;"Baixado"
124;"Uma Cadeira.";;;"Fixa; em curvim verde.";;;;;55;39;;;"Baixado"
125;"Uma Cadeira.";;;"Fixa; em curvim verde.";;;;;55;39;;;"Baixado"
126;"Uma Cadeira.";;;"Giratória; em curvim verde.";;;;;55;39;;;"Baixado"
127;"Um Filtro de linha para computador.";"C.A Informática Ltda - ME.";;;;;;;55;39;;;"Baixado"
128;"Um Filtro de linha para computador.";"C.A Informática Ltda - ME.";;;;;;;55;39;;;"Baixado"
129;"Um Filtro de linha para computador.";"C.A Informática Ltda - ME.";;;;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";;;55;39;1;4;"Baixado"
130;"Um Filtro de linha para computador.";"C.A Informática.";;;;;;;55;40;1;4;"Baixado"
131;"Um Filtro de linha para computador.";"C.A Informática Ltda - ME.";;;;;;;55;40;;;"Baixado"
132;"Um Toca - Fitas.";;"Philips AR 150.";"AM/FM";;;;;55;39;;;"Baixado"
133;"Um Ventilador.";;"Walita.";"Com 03 estágios.";;;;;55;39;;;"Baixado"
134;"Uma máquina de escrever manual.";;"Facit.";;;"Ato nº 431,de 01/09/93";"01/09/93";;55;40;;;"Baixado"
135;"Uma Estante.";;;"Cerejeira.";;"Ato nº 431,de 01/09/93";"01/09/93";;55;39;1;2;"Baixado"
136;"Uma Mesa.";;;"Para TV; em mogno.";;;;;55;39;;;"Baixado"
137;"Um Ventilador.";;"Walita.";"Com 03 estágios.";;;;;55;39;;;"Baixado"
138;"Uma Mesa.";;;"Para máquina de escrever em cerejeira.";;"Ato nº 431,de 01/09/93 - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"01/09/93";;55;39;1;1;"Baixado"
139;"Uma armário em aço.";;;"Fechado.";;"Ato nº 431,de 01/09/93";"01/09/93";;30;2;1;1;"Ativo"
140;"Um Armário em aço.";;;"Fechado; com divisórias.";;"Ato nº 431,de 01/09/93";"01/09/93";;55;39;1;1;"Baixado"
141;"Um Aparelho Telefônico.";;;"Cor: Bege.";;;;;55;39;;;"Baixado"
142;"Uma Cadeira.";;;"Fixa; em curvim preto.";;;;;55;39;;;"Baixado"
143;"Uma Cadeira.";;;"Fixa; em curvim preto.";;;;;55;39;;;"Baixado"
144;"Uma Mesa.";;;"Em mogno; 03 gavetas.";;;;;55;39;;;"Baixado"
145;"Um Relógio de Parede.";;"Braseiko.";;;;;;55;39;;;"Baixado"
146;"Uma Guilhotina.";;;"Para 360 L.";;"Ato nº 431,de 01/09/93";"01/09/93";;55;39;;;"Baixado"
147;"Uma Máquina de Escrever.";;"Facit.";"Manual.";;"Ato nº 431,de 01/09/93";"01/09/93";;55;39;1;1;"Ativo"
148;"Um Armário.";;;"Com 02 Portas em mogno.";;;;;55;39;;;"Baixado"
149;"Um Armário em aço.";;;"Fechado.";;"Ato nº 431,de 01/09/93";"01/09/93";;22;1;1;1;"Ativo"
150;"Um Armário em aço.";;;"Fechado.";;"Ato nº 431,de 01/09/93";"01/09/93";;22;1;1;1;"Ativo"
151;"Um Armário em aço.";;;"Fechado.";;"Ato nº 431,de 01/09/93";"01/09/93";;55;39;1;1;"Ativo"
152;"Um Fichário.";;;"Em acrílico.";;"Ato nº 431,de 01/09/93";"01/09/93";;55;40;1;1;"Baixado"
153;"Um Fichário.";;;"Em acrílico.";;"Ato nº 431,de 01/09/93";"01/09/93";;55;40;1;1;"Baixado"
154;"Um Fichário.";;;"Em acrílico.";;"Ato nº 431,de 01/09/93";"01/09/93";;16;7;1;1;"Baixado"
155;"Uma Cadeira.";;;"Fixa; em curvim preto.";;;;;55;39;;;"Baixado"
156;"Uma Cadeira.";;;"Fixa; em curvim preto.";;;;;55;39;;;"Baixado"
157;"Uma Cadeira.";;;"Fixa; em curvim preto.";;;;;55;39;;;"Baixado"
158;"Uma Cadeira.";;;"Fixa; em curvim preto.";;;;;55;39;;;"Baixado"
159;"Uma Mesa.";;;"Em cerejeira; com 03 gavetas.";;;;;55;39;;;"Baixado"
160;"Uma Mesa.";;;"Em cerejeira; com 03 gavetas.";;;;;55;39;;;"Baixado"
161;"Uma Mesa.";;;"Em mogno; com 03 gavetas.";;;;;55;39;;;"Baixado"
162;"Um Aparelho Telefônico.";;;"Cor: Bege.";;;;;55;39;;;"Baixado"
163;"Uma Estufa.";;;"Para papel, em madeira.";;"Ato nº 431,de 01/09/93 - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"01/09/93";;55;39;1;3;"Baixado"
164;"Uma Cadeira.";;;"Fixa; em curvim verde.";;;;;55;39;;;"Baixado"
165;"Uma Cadeira.";;;"Fixa; em curvim verde.";;;;;55;39;;;"Baixado"
166;"Uma Cadeira.";;;"Fixa; em curvim verde.";;;;;55;39;;;"Baixado"
167;"Uma Mesa.";;;"Em cerejeira, com 02 gavetas.";;;;;55;39;;;"Baixado"
168;"Um PABX Batik 520.";;;"Com 05 troncos e 20 ramais.";;;;;55;39;;;"Baixado"
169;"Um Estabilizador de voltagem Televolt.";;;;;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";;;55;39;;;"Baixado"
170;"Uma Máquina de escrever.";;"Facit.";"Manual.";;;;;55;39;1;1;"Baixado"
171;"Uma Mesa.";;;"Para computador.";;;;;55;39;;;"Baixado"
172;"Um Armário em aço.";;"Atila.";;;"Ato nº 431,de 01/09/93";"01/09/93";;22;30;1;1;"Baixado"
173;"Um Armário em aço.";;"Atila.";;;"Ato nº 431,de 01/09/93";"01/09/93";;8;4;1;1;"Ativo"
174;"Um Armário em aço.";;"Atila.";;;"Ato nº 431,de 01/09/93";"01/09/93";;39;17;1;1;"Ativo"
175;"Um Armário em aço.";;"Atila.";;;"Ato nº 431,de 01/09/93";"01/09/93";;39;17;1;1;"Ativo"
176;"Um Armário em aço.";;"Atila.";;;"Ato nº 431,de 01/09/93";"01/09/93";;12;10;1;1;"Ativo"
177;"Um Armário em aço.";;"Atila.";;;"Ato nº 431,de 01/09/93";"01/09/93";;22;27;1;1;"Ativo"
178;"Um Armário em aço.";;"Atila.";;;"Ato nº 431,de 01/09/93";"01/09/93";;39;17;1;1;"Ativo"
179;"Um Armário em aço.";;"Atila.";;;"Ato nº 431,de 01/09/93";"01/09/93";;30;2;1;1;"Ativo"
180;"Um Armário em aço.";;"Atila.";;"Comprado";"Ato nº 431,de 01/09/93";"01/09/93";;17;4;1;1;"Ativo"
181;"Um Armário em aço.";;"Atila.";;;"Ato nº 431,de 01/09/93";"01/09/93";;22;30;1;1;"Baixado"
182;"Um Armário em aço.";;"Atila.";;;"Ato nº 431,de 01/09/93";"01/09/93";;24;5;1;1;"Ativo"
183;"Um Armário em aço.";;"Atila.";;;"Ato nº 431,de 01/09/93";"01/09/93";;55;40;1;1;"Baixado"
184;"Um Armário em aço.";;"Atila.";;;"Ato nº 431,de 01/09/93";"01/09/93";;2;8;1;1;"Ativo"
185;"Um Armário em aço.";;"Atila.";"Uma porta.";"Doação";"Ato nº 431,de 01/09/93";"01/09/93";;56;40;1;1;
186;"Um Armário em aço.";;"Atila.";;;"Ato nº 431,de 01/09/93";"01/09/93";;13;8;1;1;"Ativo"
608;;;;"Adquirido por Doação - Processo Nº 063/99.";;;;;57;39;;;"Baixado"
609;;;;"Adquirido por Doação - Processo Nº 063/99.";;;;;57;39;;;"Baixado"
610;"Relógio de Ponto.";"Teleab.";;"TSI 9990 - Codim IR 9000.";;;;;57;39;1;1;"Baixado"
611;"Aparelho  de Telefône.";"Copola Comércio de Antenas e Equipamento Elétrico Eletrônico Ltda - ME.";"Intelbras.";"Com chave.";;;"23/04/1999";;57;39;;;"Baixado"
612;"Aparelho de Telefone.";"Copola Comércio de Antenas e Equipamento Elétrico Eletrônico Ltda - ME.";"Intelbras.";"Com chave.";;;"23/04/1999";;57;39;;;"Baixado"
613;"Aparelho de Telefone.";"Copola Comércio de Antenas e Equipamento Elétrico Eletrônico Ltda - ME.";"Intelbras.";"Com chave.";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"23/04/1999";;57;39;;;"Baixado"
614;"Aparelho Telefônico.";"Copola Comércio de Antenas e Equipamento Elétrico e Eletrônico Ltda - ME.";"Intelbras.";"Com chave.";;;"23/04/1999";;57;39;;;"Baixado"
615;"Aparelho de Telefone.";"Copola Comércio de Antenas e Equipamento Elétrico Eletrônico Ltda - ME.";"Intelbras.";"Com chave.";;;"23/04/1999";;57;39;;;"Baixado"
616;"Aparelho Telefônico.";"Copola Comércio de Antenas e Equipamento Elétrico Eletrônico Ltda - ME.";"Intelbras.";"Com chave.";;;"23/04/1999";;57;39;;;"Baixado"
617;"Copiadora.";"Cani Informática e Comércio Ltda.";"Sharp.";"SF 1020 - N/S 86601429.";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"27/04/1999";;57;39;1;1;"Baixado"
618;"Rack.";"Cani Informática e Comércio Ltda.";"Sharp.";"R.A 100.";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"28/04/1999";;57;39;1;1;"Baixado"
619;"Central HY -20.";"Crisfean Indústria e Comércio Serviços Ltda.";;"54.16/99 e 54.18/99.";;;;;57;39;1;1;"Baixado"
620;"Cadeira Manaca.";"Calfa Comercial Ltda.";;"S/B Preta.";;;"17/05/1999";;53;26;1;1;"Ativo"
621;"Cadeira Manaca.";"Calfa Comercial Ltda.";;"S/B - Preta.";;;"17/05/1999";;58;40;1;3;"Ativo"
622;"Cadeira Manaca.";"Calfa Comercial Ltda.";;"S/B - Preta.";;;"17/05/1999";;58;40;1;2;"Ativo"
623;"Cadeira Manaca.";"Calfa Comercial Ltda.";;"S/B - Preta.";;;"17/05/1999";;55;42;1;1;"Ativo"
624;"Cadeira Manaca.";"Calfa Comercial Ltda.";;"S/B - Preta.";;;"17/05/1999";;58;40;1;1;"Ativo"
625;"Cadeira Manaca.";"Calfa Comercial Ltda.";;"S/B - Preta.";;;"17/05/1999";;58;40;1;1;"Ativo"
626;"Cadeira Manaca.";"Calfa Comercial Ltda.";;"S/B - Preta.";;;"17/05/1999";;55;40;1;2;"Ativo"
627;"Cadeira Manaca.";"Calfa Comercial Ltda.";;"S/B - Preta.";;;"17/05/1999";;55;40;1;2;"Baixado"
